sector,degree,weighted_degree,avg_abs_corr
Banking,3,1.7015656384643854,0.4263594493579008
RealEstate,0,0.0,0.1879547636753166
SteelMaterials,3,1.638468683230672,0.3959648229234351
Technology,2,1.093628011281178,0.40324843156894813
ConsumerStaples,4,2.1901819721938707,0.43279504368295
ConsumerDiscretionary,4,2.2058248364543616,0.44773064290220194
Energy,0,0.0,0.24885669597391674
IndustrialLogistics,5,2.6438734752545576,0.44320616033296206
Healthcare,0,0.0,0.2493915632660492
Utilities,1,0.5834579480889714,0.3958979103191117
